9026
13069	before	119
17236	beforehand	22
17237	began	33
20885	beginner	14
20980	beginners	11
20981	begins	9
18289	behave	5
21526	behaved	5
17238	behind	45
18290	bei	10
20982	bekommen	5
18291	bellies	5
21329	belly	6
20983	below	12
17239	beside	5
20984	besides	6
13070	better	81
15186	beverage	5
18292	beverages	7
21705	bicycle	9
21754	bicycles	5
15017	bien	28
11997	bigger	14
17240	biggest	13
13071	bikes	11
21755	bility	5
21966	bill	5
15290	bit	66
18293	bites	7
17241	bits	14
18294	bizarre	5
14921	black	9
17242	blend	7
21641	blended	5
18295	blessed	8
18591	blew	5
21527	block	10
18296	blocks	11
21814	blossoms	6
17243	blown	13
8347	blue	9
17244	board	6
17245	boarded	5
21528	boarding	5
20985	body	14
21964	boissons	5
18592	bonding	5
15018	bonne	9
15019	bonus	32
13072	booked	83
13073	booking	54
17246	bookings	9
17247	books	25
18297	boot	5
20986	booth	5
17248	boring	13
13074	both	103
17249	bother	16
17250	bottle	8
21529	bottles	7
18298	bottom	5
13075	bought	42
17251	bound	6
17252	boutique	7
17253	bove	7
18299	bowl	14
18300	box	18
20987	boxes	16
18301	boy	11
13076	boyfriend	26
13077	boys	23
20664	brand	8
20988	bread	8
20989	break	26
20990	breaking	5
21919	breathtaking	7
18302	brewery	6
20991	brewing	5
17254	bridges	8
15291	brief	17
20992	briefly	7
17255	brilliant	28
19771	bringing	9
18303	brings	8
21435	broad	8
14675	broke	8
17256	broken	8
18304	broth	10
14676	brought	46
17257	browse	5
21880	browsing	5
17258	bsolutely	8
17259	budget	18
21397	buen	7
18305	buena	8
21815	bueno	6
18306	buenos	10
17260	build	11
13078	building	41
15218	buildings	29
18307	built	11
18308	bunch	9
11415	bus	40
17261	buses	9
17262	busiest	9
13079	business	52
18309	bustle	6
13080	bustling	20
13081	busy	53
13082	but	182
13083	buy	62
14858	buying	22
17263	buzzing	5
15020	c	15
20993	cab	9
17264	cada	8
9811	cafe	69
17265	cafes	10
16929	café	12
17266	call	28
17267	called	31
21869	calligraphy	12
13084	came	86
14677	camera	19
11754	can	176
20994	cancel	8
17268	cancelled	7
13085	cannot	51
14894	cans	5
17269	cant	12
21425	cap	5
18310	capable	10
18311	capped	6
20995	capture	12
13086	card	27
17270	cards	18
13087	care	61
15254	cared	12
14678	careful	16
13088	carefully	21
18312	cares	8
17271	caring	8
17272	carried	10
18593	carry	19
17273	carrying	5
21447	cars	13
17274	case	28
18594	cases	9
21642	caso	6
21796	castle	5
17275	casual	18
20996	casually	5
17276	cat	11
20997	catch	21
17277	catching	8
17278	cater	9
17279	catered	14
17280	cats	9
13089	caught	19
17281	caused	5
9950	cc	9
17282	ccommodating	31
14679	ccomodating	8
15021	ce	14
21530	cela	6
18313	celebrating	5
21749	celebrities	5
17283	cent	8
13090	center	22
13091	central	26
20998	centre	9
20999	ceramics	6
21797	ceremonies	6
13092	ceremony	37
17284	certain	26
17285	certainly	43
21330	certified	6
21000	cet	7
15022	cette	18
21643	chairs	6
21001	challenge	11
21331	challenged	8
21002	challenges	6
17286	challenging	16
17287	chance	33
13093	change	35
17288	changed	27
17289	changing	14
17290	chaotic	5
15266	character	20
15023	characters	12
21929	charged	5
21332	charging	6
17291	charm	11
17292	charming	29
15292	chat	27
21816	chats	6
21003	chatted	9
17293	chatting	23
19772	che	24
17294	cheap	24
17295	cheaper	13
14837	check	51
17296	checked	17
18314	checking	19
21004	cheerful	9
21005	chefs	11
19808	chez	7
17297	chicken	26
21006	child	12
13094	children	46
17298	chill	12
21829	chilled	5
21448	chilly	8
18315	choices	21
15024	choix	7
14680	choose	55
18316	choosing	17
21644	chopsticks	11
13095	chose	62
17299	chosen	29
15025	choses	7
21756	circuit	5
21007	circumstances	5
21008	citement	5
13096	cities	35
11755	city	68
19809	classes	30
17300	cleared	6
14681	clearly	35
13097	clients	20
21449	climb	9
18317	climbed	5
17301	climbing	6
14110	close	63
21009	closer	11
18318	closing	5
13098	clothes	23
17302	clothing	8
17303	clubs	10
4815	cm	44
21531	co	5
18319	cocktail	9
18320	cocktails	11
57	coffee	28
15026	coins	7
17304	cold	23
15219	colleague	7
21333	colleagues	9
21645	collect	5
17305	collected	7
13099	collection	11
13100	combination	15
18321	combine	10
13101	combined	14
13102	come	99
17306	comer	6
18322	comfort	11
13103	comfortable	71
21334	comfortably	8
17307	comfy	8
17308	comida	6
14922	coming	52
17309	command	18
18595	comme	7
15027	comment	11
19794	commentary	12
17310	comments	10
17311	commercial	6
13104	communicate	27
13105	communicated	16
21010	communicating	14
17312	communication	28
21011	communications	7
18323	communicative	8
21706	communicator	8
21646	commuting	5
17313	companies	19
17314	companion	10
21532	companions	9
13106	company	52
17315	compare	11
14682	compared	21
18324	comparison	10
21012	competent	6
17316	complaint	10
17317	complete	31
13107	completed	16
13108	completely	49
14420	complex	13
17318	complicated	17
21450	composition	5
21687	comprar	6
17319	comprehensive	12
15028	comprendre	8
17320	con	35
18325	concentrate	5
21013	concept	9
18326	concern	7
17321	concerned	15
21335	concerns	11
21533	concierge	5
21014	concluded	6
21757	condition	11
